exchange,timestamp,side,price,quantity
Lighter,2025-12-02T17:57:36.523610+00:00,LONG,91577.1888,0.00200
Backpack,2025-12-02T17:57:51.238766+00:00,buy,91387.2,0.00200
Lighter,2025-12-02T17:58:02.402866+00:00,SHORT,91235.8626,0.00200
Backpack,2025-12-02T17:58:13.603790+00:00,sell,91389.0,0.00200
Lighter,2025-12-02T17:58:25.127817+00:00,LONG,91568.8722,0.00200
Backpack,2025-12-02T18:04:39.951814+00:00,buy,91608.1,0.00200
Lighter,2025-12-02T18:04:51.261398+00:00,SHORT,91436.6602,0.00200
Backpack,2025-12-02T18:06:07.737188+00:00,sell,91558.1,0.00200
Lighter,2025-12-02T18:06:19.006961+00:00,LONG,91675.5852,0.00200
Backpack,2025-12-02T18:12:00.609594+00:00,buy,91740.5,0.00200
Lighter,2025-12-02T18:12:11.789227+00:00,SHORT,91541.6498,0.00200
Backpack,2025-12-02T18:12:25.279263+00:00,sell,91712.1,0.00200
Lighter,2025-12-02T18:12:36.390714+00:00,LONG,91879.7928,0.00200
Backpack,2025-12-02T18:12:46.280691+00:00,buy,91638.1,0.00200
Lighter,2025-12-02T18:12:57.664376+00:00,SHORT,91474.9834,0.00200
Backpack,2025-12-02T18:13:22.519961+00:00,sell,91632.3,0.00200
Lighter,2025-12-02T18:13:33.804479+00:00,LONG,91798.5306,0.00200
Backpack,2025-12-02T18:13:51.659176+00:00,buy,91653.3,0.00200
Lighter,2025-12-02T18:14:02.809237+00:00,SHORT,91464.2050,0.00200
Backpack,2025-12-02T18:14:09.421047+00:00,sell,91641.1,0.00200
Lighter,2025-12-02T18:14:20.738687+00:00,LONG,91820.7750,0.00200
Backpack,2025-12-02T18:22:30.505896+00:00,buy,92036.4,0.00200
Lighter,2025-12-02T18:22:41.837079+00:00,SHORT,91826.4790,0.00200
Backpack,2025-12-02T18:23:19.969921+00:00,buy,92047.1,0.00200
Lighter,2025-12-02T18:23:32.440434+00:00,SHORT,91902.7262,0.00200
Backpack,2025-12-02T18:23:41.914692+00:00,sell,92002.3,0.00200
Lighter,2025-12-02T18:23:53.079159+00:00,LONG,92189.8116,0.00200
Backpack,2025-12-02T18:24:11.784436+00:00,sell,92030.1,0.00200
Lighter,2025-12-02T18:24:23.142509+00:00,LONG,92194.2204,0.00200
Backpack,2025-12-02T18:24:50.963260+00:00,buy,91973.9,0.00200
Lighter,2025-12-02T18:25:02.230622+00:00,SHORT,91814.3034,0.00200
Backpack,2025-12-02T18:25:06.197338+00:00,buy,91887.8,0.00200
Lighter,2025-12-02T18:25:16.915817+00:00,SHORT,91728.1760,0.00200
Backpack,2025-12-02T18:25:40.096072+00:00,sell,91934.4,0.00200
Lighter,2025-12-02T18:25:51.296040+00:00,LONG,92121.1746,0.00200
Backpack,2025-12-02T18:25:59.074451+00:00,buy,91906.5,0.00200
Lighter,2025-12-02T18:26:10.365760+00:00,SHORT,91710.2120,0.00200
